index,model_answer,gold_answer,is_correct
1,1/3,NaN,False
2,2,NaN,False
3,31/204,NaN,False
4,24,NaN,False
5,27,NaN,False
6,28,NaN,False
7,203,NaN,False
8,216,NaN,False
9,25,NaN,False
10,4,NaN,False
11,59049,NaN,False
12,1/3,NaN,True
13,21.32480599880018,NaN,False
14,4608,NaN,False
15,1296,NaN,True
16,sqrt(6),NaN,False
17,20,NaN,False
18,6,NaN,False
19,12,NaN,True
20,30,NaN,False
21,72,NaN,True
22,NaN,NaN,False
23,16,NaN,False
24,2,NaN,False
25,0,NaN,False
26,14.518,NaN,False
27,8,NaN,False
28,0,NaN,False
29,12,NaN,False
0,414478596444581735990496,2^{99},False
1,1/3,\frac{1}{9},False
2,0.5,\frac{\sqrt{13}}{2},False
3,1/9,\frac{1}{9},True
4,96,240,False
5,81,72,False
6,924,924,True
7,2025,20,False
8,213,173,False
9,24,100,False
10,4,3+2\sqrt{2},False
11,59049,125,False
12,1/3,\frac{1}{3},True
13,119786923326.37982,7,False
14,48,4529,False
15,1296,1296,True
16,sqrt(2) + 2,1+\sqrt{3},False
17,62.83185307179586,20\pi,True
18,6,12,False
19,12,12,True
20,64,160,False
21,8,72,False
22,"[1,2,3]","2,3,\frac{3+i\sqrt{3}}{2},\frac{3-i\sqrt{3}}{2}",False
23,2,89,False
24,3,\frac{1+\sqrt{31}}{2},False
25,666,337,False
26,39.75,\frac{737}{39},False
27,26,5\sqrt{2},False
28,1.514776544,-\frac{2431}{50},False
29,8,\frac{9\sqrt{30}}{4},False
0,2.4126698183646885e-24,2^{99},False
1,-1/2 + sqrt(41)/18,\frac{1}{9},False
2,3,\frac{\sqrt{13}}{2},False
3,23/612,\frac{1}{9},False
4,48,240,False
5,44,72,False
6,70,924,False
7,2025,20,False
8,213,173,False
9,25,100,False
10,sqrt(5),3+2\sqrt{2},False
11,362880,125,False
12,1/3,\frac{1}{3},True
13,65536/81,7,False
14,4608,4529,False
15,1296,1296,True
16,2,1+\sqrt{3},False
17,125.66370614359172,20\pi,False
18,6,12,False
19,12,12,True
20,96,160,False
21,8,72,False
22,"[1,2,3]","2,3,\frac{3+i\sqrt{3}}{2},\frac{3-i\sqrt{3}}{2}",False
23,11,89,False
24,2,\frac{1+\sqrt{31}}{2},False
25,1,337,False
26,42.75,\frac{737}{39},False
27,13,5\sqrt{2},False
28,0,-\frac{2431}{50},False
29,12,\frac{9\sqrt{30}}{4},False
0,5.820975652447899e-48,2^{99},False
1,1/3,\frac{1}{9},False
2,3,\frac{\sqrt{13}}{2},False
3,1/9,\frac{1}{9},True
4,96,240,False
5,45,72,False
6,924,924,True
7,6,20,False
8,63,173,False
9,25,100,False
10,2,3+2\sqrt{2},False
11,10,125,False
12,1/3,\frac{1}{3},True
13,65536/14348907,7,False
14,4608,4529,False
15,48,1296,False
16,sqrt(2) + 2,1+\sqrt{3},False
17,40,20\pi,False
18,6,12,False
19,60,12,False
20,66,160,False
21,8,72,False
22,"[1,2,3]","2,3,\frac{3+i\sqrt{3}}{2},\frac{3-i\sqrt{3}}{2}",False
23,10,89,False
24,sqrt(3),\frac{1+\sqrt{31}}{2},False
25,123,337,False
26,39.75,\frac{737}{39},False
27,24,5\sqrt{2},False
28,0,-\frac{2431}{50},False
29,12,\frac{9\sqrt{30}}{4},False
0,1/633825300114114700748351602688,2^{99},False
1,-1/2 + sqrt(41)/18,\frac{1}{9},False
2,sqrt(3),\frac{\sqrt{13}}{2},False
3,16/99,\frac{1}{9},False
4,120,240,False
5,13,72,False
6,36,924,False
7,2025,20,False
8,213,173,False
9,25,100,False
10,sqrt(13),3+2\sqrt{2},False
11,362880,125,False
12,1/3,\frac{1}{3},True
13,65536/81,7,False
14,48,4529,False
15,1296,1296,True
16,2,1+\sqrt{3},False
17,753.9822368615504,20\pi,False
18,6,12,False
19,12,12,True
20,66,160,False
21,8,72,False
22,"[3,3/2 + sqrt(7)*I/2,3/2 - sqrt(7)*I/2]","2,3,\frac{3+i\sqrt{3}}{2},\frac{3-i\sqrt{3}}{2}",False
23,1024,89,False
24,sqrt(5),\frac{1+\sqrt{31}}{2},False
25,955,337,False
26,40.5,\frac{737}{39},False
27,10,5\sqrt{2},False
28,0,-\frac{2431}{50},False
29,12,\frac{9\sqrt{30}}{4},False
